order,name,type,isnumeric,format,vallab,varlab
36,hc05_est_vc03,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; With related children"
37,hc05_moe_vc03,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; With related c"
38,hc06_est_vc03,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
39,hc06_moe_vc03,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
40,hc01_est_vc04,strL,0,%9s,,All families  - Total; Estimate; With related children of householder under 18 y
41,hc01_moe_vc04,strL,0,%9s,,All families  - Total; Margin of Error; With related children of householder und
42,hc02_est_vc04,strL,0,%9s,,All families  - Percent below poverty level; Estimate; With related children of 
43,hc02_moe_vc04,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; With related child
44,hc03_est_vc04,strL,0,%9s,,Married-couple families  - Total; Estimate; With related children of householder
45,hc03_moe_vc04,strL,0,%9s,,Married-couple families  - Total; Margin of Error; With related children of hous
46,hc04_est_vc04,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; With related c
47,hc04_moe_vc04,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; With re
48,hc05_est_vc04,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; With related children"
49,hc05_moe_vc04,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; With related c"
50,hc06_est_vc04,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
51,hc06_moe_vc04,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
52,hc01_est_vc05,strL,0,%9s,,All families  - Total; Estimate; With related children of householder under 18 y
53,hc01_moe_vc05,strL,0,%9s,,All families  - Total; Margin of Error; With related children of householder und
54,hc02_est_vc05,strL,0,%9s,,All families  - Percent below poverty level; Estimate; With related children of 
55,hc02_moe_vc05,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; With related child
56,hc03_est_vc05,strL,0,%9s,,Married-couple families  - Total; Estimate; With related children of householder
57,hc03_moe_vc05,strL,0,%9s,,Married-couple families  - Total; Margin of Error; With related children of hous
58,hc04_est_vc05,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; With related c
59,hc04_moe_vc05,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; With re
60,hc05_est_vc05,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; With related children"
61,hc05_moe_vc05,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; With related c"
62,hc06_est_vc05,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
63,hc06_moe_vc05,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
64,hc01_est_vc09,strL,0,%9s,,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families w
65,hc01_moe_vc09,strL,0,%9s,,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Fam
66,hc02_est_vc09,strL,0,%9s,,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATI
67,hc02_moe_vc09,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC 
68,hc03_est_vc09,strL,0,%9s,,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN -
69,hc03_moe_vc09,strL,0,%9s,,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO O
70,hc04_est_vc09,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPA
71,hc04_moe_vc09,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; RACE AN
72,hc05_est_vc09,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR "
73,hc05_moe_vc09,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPA"
74,hc06_est_vc09,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
75,hc06_moe_vc09,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
76,hc01_est_vc10,strL,0,%9s,,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families w
77,hc01_moe_vc10,strL,0,%9s,,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Fam
78,hc02_est_vc10,strL,0,%9s,,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATI
79,hc02_moe_vc10,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC 
80,hc03_est_vc10,strL,0,%9s,,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN -
81,hc03_moe_vc10,strL,0,%9s,,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO O
82,hc04_est_vc10,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPA
83,hc04_moe_vc10,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; RACE AN
84,hc05_est_vc10,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR "
85,hc05_moe_vc10,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPA"
86,hc06_est_vc10,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
87,hc06_moe_vc10,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
88,hc01_est_vc11,strL,0,%9s,,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families w
89,hc01_moe_vc11,strL,0,%9s,,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Fam
90,hc02_est_vc11,strL,0,%9s,,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATI
91,hc02_moe_vc11,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC 
92,hc03_est_vc11,strL,0,%9s,,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN -
93,hc03_moe_vc11,strL,0,%9s,,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO O
94,hc04_est_vc11,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPA
95,hc04_moe_vc11,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; RACE AN
96,hc05_est_vc11,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR "
97,hc05_moe_vc11,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPA"
98,hc06_est_vc11,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
99,hc06_moe_vc11,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
100,hc01_est_vc12,strL,0,%9s,,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families w
101,hc01_moe_vc12,strL,0,%9s,,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Fam
102,hc02_est_vc12,strL,0,%9s,,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATI
103,hc02_moe_vc12,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC 
104,hc03_est_vc12,strL,0,%9s,,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN -
105,hc03_moe_vc12,strL,0,%9s,,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO O
106,hc04_est_vc12,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPA
107,hc04_moe_vc12,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; RACE AN
108,hc05_est_vc12,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR "
109,hc05_moe_vc12,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPA"
110,hc06_est_vc12,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
111,hc06_moe_vc12,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
112,hc01_est_vc13,strL,0,%9s,,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families w
113,hc01_moe_vc13,strL,0,%9s,,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Fam
114,hc02_est_vc13,strL,0,%9s,,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATI
115,hc02_moe_vc13,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC 
116,hc03_est_vc13,strL,0,%9s,,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN -
117,hc03_moe_vc13,strL,0,%9s,,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO O
118,hc04_est_vc13,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPA
119,hc04_moe_vc13,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; RACE AN
120,hc05_est_vc13,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR "
121,hc05_moe_vc13,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPA"
122,hc06_est_vc13,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
123,hc06_moe_vc13,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
124,hc01_est_vc14,strL,0,%9s,,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families w
125,hc01_moe_vc14,strL,0,%9s,,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Fam
126,hc02_est_vc14,strL,0,%9s,,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATI
127,hc02_moe_vc14,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC 
128,hc03_est_vc14,strL,0,%9s,,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN -
129,hc03_moe_vc14,strL,0,%9s,,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO O
130,hc04_est_vc14,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPA
131,hc04_moe_vc14,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; RACE AN
132,hc05_est_vc14,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR "
133,hc05_moe_vc14,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPA"
134,hc06_est_vc14,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
135,hc06_moe_vc14,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
136,hc01_est_vc15,strL,0,%9s,,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families w
137,hc01_moe_vc15,strL,0,%9s,,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Fam
138,hc02_est_vc15,strL,0,%9s,,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATI
139,hc02_moe_vc15,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC 
140,hc03_est_vc15,strL,0,%9s,,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN -
141,hc03_moe_vc15,strL,0,%9s,,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO O
142,hc04_est_vc15,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPA
143,hc04_moe_vc15,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; RACE AN
144,hc05_est_vc15,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR "
145,hc05_moe_vc15,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPA"
146,hc06_est_vc15,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
147,hc06_moe_vc15,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
148,hc01_est_vc17,str72,0,%72s,,All families  - Total; Estimate; Hispanic or Latino origin (of any race)
149,hc01_moe_vc17,strL,0,%9s,,All families  - Total; Margin of Error; Hispanic or Latino origin (of any race)
150,hc02_est_vc17,strL,0,%9s,,All families  - Percent below poverty level; Estimate; Hispanic or Latino origin
151,hc02_moe_vc17,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; Hispanic or Latino
152,hc03_est_vc17,strL,0,%9s,,Married-couple families  - Total; Estimate; Hispanic or Latino origin (of any ra
153,hc03_moe_vc17,strL,0,%9s,,Married-couple families  - Total; Margin of Error; Hispanic or Latino origin (of
154,hc04_est_vc17,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; Hispanic or La
155,hc04_moe_vc17,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; Hispani
156,hc05_est_vc17,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; Hispanic or Latino or"
157,hc05_moe_vc17,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; Hispanic or La"
158,hc06_est_vc17,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
159,hc06_moe_vc17,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
160,hc01_est_vc18,str68,0,%68s,,"All families  - Total; Estimate; White alone, not Hispanic or Latino"
161,hc01_moe_vc18,str75,0,%75s,,"All families  - Total; Margin of Error; White alone, not Hispanic or Latino"
162,hc02_est_vc18,strL,0,%9s,,"All families  - Percent below poverty level; Estimate; White alone, not Hispanic"
163,hc02_moe_vc18,strL,0,%9s,,"All families  - Percent below poverty level; Margin of Error; White alone, not H"
164,hc03_est_vc18,strL,0,%9s,,"Married-couple families  - Total; Estimate; White alone, not Hispanic or Latino"
165,hc03_moe_vc18,strL,0,%9s,,"Married-couple families  - Total; Margin of Error; White alone, not Hispanic or "
166,hc04_est_vc18,strL,0,%9s,,"Married-couple families  - Percent below poverty level; Estimate; White alone, n"
167,hc04_moe_vc18,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; White a
168,hc05_est_vc18,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; White alone, not Hisp"
169,hc05_moe_vc18,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; White alone, n"
170,hc06_est_vc18,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
171,hc06_moe_vc18,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
172,hc01_est_vc20,str51,0,%51s,,All families  - Total; Estimate; Householder worked
173,hc01_moe_vc20,str58,0,%58s,,All families  - Total; Margin of Error; Householder worked
174,hc02_est_vc20,str73,0,%73s,,All families  - Percent below poverty level; Estimate; Householder worked
175,hc02_moe_vc20,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; Householder worked
176,hc03_est_vc20,str62,0,%62s,,Married-couple families  - Total; Estimate; Householder worked
177,hc03_moe_vc20,str69,0,%69s,,Married-couple families  - Total; Margin of Error; Householder worked
178,hc04_est_vc20,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; Householder wo
179,hc04_moe_vc20,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; Househo
180,hc05_est_vc20,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; Householder worked"
181,hc05_moe_vc20,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; Householder wo"
182,hc06_est_vc20,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
183,hc06_moe_vc20,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
184,hc01_est_vc21,strL,0,%9s,,All families  - Total; Estimate; Householder worked - Householder worked full-ti
185,hc01_moe_vc21,strL,0,%9s,,All families  - Total; Margin of Error; Householder worked - Householder worked 
186,hc02_est_vc21,strL,0,%9s,,All families  - Percent below poverty level; Estimate; Householder worked - Hous
187,hc02_moe_vc21,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; Householder worked
188,hc03_est_vc21,strL,0,%9s,,Married-couple families  - Total; Estimate; Householder worked - Householder wor
189,hc03_moe_vc21,strL,0,%9s,,Married-couple families  - Total; Margin of Error; Householder worked - Househol
190,hc04_est_vc21,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; Householder wo
191,hc04_moe_vc21,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; Househo
192,hc05_est_vc21,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; Householder worked - "
193,hc05_moe_vc21,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; Householder wo"
194,hc06_est_vc21,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
195,hc06_moe_vc21,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
196,hc01_est_vc23,str62,0,%62s,,All families  - Total; Estimate; Householder 65 years and over
197,hc01_moe_vc23,str69,0,%69s,,All families  - Total; Margin of Error; Householder 65 years and over
198,hc02_est_vc23,strL,0,%9s,,All families  - Percent below poverty level; Estimate; Householder 65 years and 
199,hc02_moe_vc23,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; Householder 65 yea
200,hc03_est_vc23,str73,0,%73s,,Married-couple families  - Total; Estimate; Householder 65 years and over
201,hc03_moe_vc23,strL,0,%9s,,Married-couple families  - Total; Margin of Error; Householder 65 years and over
202,hc04_est_vc23,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; Householder 65
203,hc04_moe_vc23,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; Househo
204,hc05_est_vc23,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; Householder 65 years "
205,hc05_moe_vc23,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; Householder 65"
206,hc06_est_vc23,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
207,hc06_moe_vc23,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
208,hc01_est_vc25,strL,0,%9s,,All families  - Total; Estimate; Family received -- - Supplemental Security Inco
209,hc01_moe_vc25,strL,0,%9s,,All families  - Total; Margin of Error; Family received -- - Supplemental Securi
210,hc02_est_vc25,strL,0,%9s,,All families  - Percent below poverty level; Estimate; Family received -- - Supp
211,hc02_moe_vc25,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; Family received --
212,hc03_est_vc25,strL,0,%9s,,Married-couple families  - Total; Estimate; Family received -- - Supplemental Se
213,hc03_moe_vc25,strL,0,%9s,,Married-couple families  - Total; Margin of Error; Family received -- - Suppleme
214,hc04_est_vc25,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; Family receive
215,hc04_moe_vc25,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; Family 
216,hc05_est_vc25,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; Family received -- - "
217,hc05_moe_vc25,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; Family receive"
218,hc06_est_vc25,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
219,hc06_moe_vc25,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
220,hc01_est_vc26,strL,0,%9s,,All families  - Total; Estimate; Family received -- - Social security income in 
221,hc01_moe_vc26,strL,0,%9s,,All families  - Total; Margin of Error; Family received -- - Social security inc
222,hc02_est_vc26,strL,0,%9s,,All families  - Percent below poverty level; Estimate; Family received -- - Soci
223,hc02_moe_vc26,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; Family received --
224,hc03_est_vc26,strL,0,%9s,,Married-couple families  - Total; Estimate; Family received -- - Social security
225,hc03_moe_vc26,strL,0,%9s,,Married-couple families  - Total; Margin of Error; Family received -- - Social s
226,hc04_est_vc26,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; Family receive
227,hc04_moe_vc26,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; Family 
228,hc05_est_vc26,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; Family received -- - "
229,hc05_moe_vc26,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; Family receive"
230,hc06_est_vc26,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
231,hc06_moe_vc26,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
232,hc01_est_vc29,strL,0,%9s,,All families  - Total; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less th
233,hc01_moe_vc29,strL,0,%9s,,All families  - Total; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - 
234,hc02_est_vc29,strL,0,%9s,,All families  - Percent below poverty level; Estimate; EDUCATIONAL ATTAINMENT OF
235,hc02_moe_vc29,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; EDUCATIONAL ATTAIN
236,hc03_est_vc29,strL,0,%9s,,Married-couple families  - Total; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDE
237,hc03_moe_vc29,strL,0,%9s,,Married-couple families  - Total; Margin of Error; EDUCATIONAL ATTAINMENT OF HOU
238,hc04_est_vc29,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; EDUCATIONAL AT
239,hc04_moe_vc29,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; EDUCATI
240,hc05_est_vc29,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; EDUCATIONAL ATTAINMEN"
241,hc05_moe_vc29,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; EDUCATIONAL AT"
242,hc06_est_vc29,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
243,hc06_moe_vc29,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
244,hc01_est_vc30,strL,0,%9s,,All families  - Total; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - High sc
245,hc01_moe_vc30,strL,0,%9s,,All families  - Total; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - 
246,hc02_est_vc30,strL,0,%9s,,All families  - Percent below poverty level; Estimate; EDUCATIONAL ATTAINMENT OF
247,hc02_moe_vc30,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; EDUCATIONAL ATTAIN
248,hc03_est_vc30,strL,0,%9s,,Married-couple families  - Total; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDE
249,hc03_moe_vc30,strL,0,%9s,,Married-couple families  - Total; Margin of Error; EDUCATIONAL ATTAINMENT OF HOU
250,hc04_est_vc30,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; EDUCATIONAL AT
251,hc04_moe_vc30,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; EDUCATI
252,hc05_est_vc30,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; EDUCATIONAL ATTAINMEN"
253,hc05_moe_vc30,strL,0,%9s,,"Female householder, no husband present  - Total; Margin of Error; EDUCATIONAL AT"
254,hc06_est_vc30,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Estimate;"
255,hc06_moe_vc30,strL,0,%9s,,"Female householder, no husband present  - Percent below poverty level; Margin of"
256,hc01_est_vc31,strL,0,%9s,,All families  - Total; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Some co
257,hc01_moe_vc31,strL,0,%9s,,All families  - Total; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - 
258,hc02_est_vc31,strL,0,%9s,,All families  - Percent below poverty level; Estimate; EDUCATIONAL ATTAINMENT OF
259,hc02_moe_vc31,strL,0,%9s,,All families  - Percent below poverty level; Margin of Error; EDUCATIONAL ATTAIN
260,hc03_est_vc31,strL,0,%9s,,Married-couple families  - Total; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDE
261,hc03_moe_vc31,strL,0,%9s,,Married-couple families  - Total; Margin of Error; EDUCATIONAL ATTAINMENT OF HOU
262,hc04_est_vc31,strL,0,%9s,,Married-couple families  - Percent below poverty level; Estimate; EDUCATIONAL AT
263,hc04_moe_vc31,strL,0,%9s,,Married-couple families  - Percent below poverty level; Margin of Error; EDUCATI
264,hc05_est_vc31,strL,0,%9s,,"Female householder, no husband present  - Total; Estimate; EDUCATIONAL ATTAINMEN"
