101,hc01_moe_vc15,str50,0,%50s,,Households; Margin of Error; Mean income (dollars)
102,hc02_est_vc15,str41,0,%41s,,Families; Estimate; Mean income (dollars)
103,hc02_moe_vc15,str48,0,%48s,,Families; Margin of Error; Mean income (dollars)
104,hc03_est_vc15,str56,0,%56s,,Married-couple families; Estimate; Mean income (dollars)
105,hc03_moe_vc15,str63,0,%63s,,Married-couple families; Margin of Error; Mean income (dollars)
106,hc04_est_vc15,str53,0,%53s,,Nonfamily households; Estimate; Mean income (dollars)
107,hc04_moe_vc15,str60,0,%60s,,Nonfamily households; Margin of Error; Mean income (dollars)
108,hc01_est_vc18,strL,0,%9s,,Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months
109,hc01_moe_vc18,strL,0,%9s,,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12
110,hc02_est_vc18,strL,0,%9s,,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months
111,hc02_moe_vc18,strL,0,%9s,,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 m
112,hc03_est_vc18,strL,0,%9s,,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the p
113,hc03_moe_vc18,strL,0,%9s,,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income i
114,hc04_est_vc18,strL,0,%9s,,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past
115,hc04_moe_vc18,strL,0,%9s,,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in t
116,hc01_est_vc19,str77,0,%77s,,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
117,hc01_moe_vc19,strL,0,%9s,,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 mo
118,hc02_est_vc19,str75,0,%75s,,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
119,hc02_moe_vc19,strL,0,%9s,,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 mont
120,hc03_est_vc19,strL,0,%9s,,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past
121,hc03_moe_vc19,strL,0,%9s,,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in t
122,hc04_est_vc19,strL,0,%9s,,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12
123,hc04_moe_vc19,strL,0,%9s,,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the 
124,hc01_est_vc20,strL,0,%9s,,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months
125,hc01_moe_vc20,strL,0,%9s,,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12
126,hc02_est_vc20,strL,0,%9s,,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months
127,hc02_moe_vc20,strL,0,%9s,,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 m
128,hc03_est_vc20,strL,0,%9s,,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the p
129,hc03_moe_vc20,strL,0,%9s,,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income i
130,hc04_est_vc20,strL,0,%9s,,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past
131,hc04_moe_vc20,strL,0,%9s,,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in t
